target_comb_idx,target_text,ctx_-4_speaker,ctx_-4_text,ctx_-3_speaker,ctx_-3_text,ctx_-2_speaker,ctx_-2_text,ctx_-1_speaker,ctx_-1_text,ctx_0_speaker,ctx_0_text,ctx_1_speaker,ctx_1_text,ctx_2_speaker,ctx_2_text,R1: References prior student content_final,R2: Builds on student content_final,R3: Invites further student thinking_final,C1. No student content available (N/A)_final,C2. Want annotation review_final
2085_185,Three times three equals nine. That’s why it’s going to be easier if you write as you work. [Inaudible] are you okay? What’s that?,teacher,"You will have to have more steps than that. [Inaudible]. I don’t see anywhere where you put the zero. Where you put your place-holder in. You need to be doing how we did it up here. You still have to, you have to let them know that they need a placeholder.",student,A placeholder?,teacher,"A placeholder. Why don’t you have any words on your paper? Why don’t you have any words on your paper? Oh, okay.",student,[Inaudible] is three times nine?,teacher,Three times three equals nine. That’s why it’s going to be easier if you write as you work. [Inaudible] are you okay? What’s that?,student,Then adding?,teacher,"[Inaudible] three times five, and then add it.",1,0,0,0,0
209_75,"Come on, Student S. Ten across. Student M. Did you go ten across? Twenty high? But, this is not the type of triangle that we’re doing. Notice the type of triangle that we’re doing. We’re not doing – see you have to find the five point. The middle of the graph paper. So you’re going to go across one, two, three, four, five. And go up 20. You’re going to go across 20, but when you’re going to do your points, you’re going to go to the five, which is halfway. Then go up 20. Because this is not a right triangle. A lot of people are making right triangles. Go across ten. And you have to get to five. One, two, three, four, five. Then you’re going to go up 20. Go up 20 from the center. That’s what the picture – after you go across 5, then go up 20. It’s not a right triangle.",student,[Inaudible] go like this.,teacher,"Okay, base should not be going up. Our base is ten across. So it’s the bottom number. Student C, have you gone ten across? Have you gone ten across? Is this ten across?",student,Yes.,teacher,"One, two, three, four, five, six, seven, eight, nine, ten. Now you have to go 20 high. So you’re going to find number 5 and go up 20. You go up from the center. Student S. That was the number that Student R picked, so.",teacher,"Come on, Student S. Ten across. Student M. Did you go ten across? Twenty high? But, this is not the type of triangle that we’re doing. Notice the type of triangle that we’re doing. We’re not doing – see you have to find the five point. The middle of the graph paper. So you’re going to go across one, two, three, four, five. And go up 20. You’re going to go across 20, but when you’re going to do your points, you’re going to go to the five, which is halfway. Then go up 20. Because this is not a right triangle. A lot of people are making right triangles. Go across ten. And you have to get to five. One, two, three, four, five. Then you’re going to go up 20. Go up 20 from the center. That’s what the picture – after you go across 5, then go up 20. It’s not a right triangle.",teacher,"Good. Good, Student C. Yes. Excellent. Student C has – and he even drew a box around it, which is what we’re going to get to. See that? Yours should look like this. He went across 20. Then he went to 5 and he went up – I mean across 10 and he went up to 20. His actually –he’s got it reversed, but you should go across ten. He went across 20 and up 10. Would it be the same area?",student,Yes.,0,0,0,1,0
2108_275,"All right. Seven plus four, you said is eleven. Put down the one. Bring up the one. Good. Eight plus one is? Nine, plus one more is? Ten. Perfect. Bring up the one. Nine plus one is? Ten. Okay. One thousand one. You were only how many point over? One. So, you put a one in here. So one is your score. And now you’re going to put your two numbers, and say equals 1,001. I’m going to have you read me yours in a minute. Is this going to be a zero, or a one? I want you to practice on this. No. We’re going to practice it on this, honey, and make sure you’re happy with it, before you put it on your chart. What is this going to be? A zero, or a one?",teacher,"All right, so you said seven plus four is eleven. Let’s erase that, honey. I’m going to help you. This is a really good one.",student,Eight?,teacher,Erase the whole thing.,student,Seven.,teacher,"All right. Seven plus four, you said is eleven. Put down the one. Bring up the one. Good. Eight plus one is? Nine, plus one more is? Ten. Perfect. Bring up the one. Nine plus one is? Ten. Okay. One thousand one. You were only how many point over? One. So, you put a one in here. So one is your score. And now you’re going to put your two numbers, and say equals 1,001. I’m going to have you read me yours in a minute. Is this going to be a zero, or a one? I want you to practice on this. No. We’re going to practice it on this, honey, and make sure you’re happy with it, before you put it on your chart. What is this going to be? A zero, or a one?",student,It’s going to be a two.,teacher,"It’s – no. Nine plus two is eleven. You want this to add up to nine, or ten.",1,1,1,0,0
2108_363,"Wait right here. And Teacher F’s people are coming this way, with me. Don’t worry about that, honey. Nope. Nope. Student S, look at me, honey. That way. Go that way. Shh. Listen to me. You know where you’re going with Teacher H. You’re going to quietly get there. You’re going to walk in a nice, straight, quiet line, all right? Tell her I’m sorry we’re late, okay? Thank you. Student J, nice straight, quiet line. Do not disturb anybody else working. Okay, you need to clear your desk. The only think that should be left is a pack of cards. In your to- do folder, Student J. Thank you, Student S. Thank you, Student G. Thank you, Student G. Student P, one person is packing from the group, so whatever person was in charge of the cards when I handed them out, that is the person packing. All your papers are in to-do. So, when I look at your desk, it should look like Student S’s. It should look like Student G’s. Student K is not ready. Student J, you’re sitting, honey. I’m going to get all the cards at the same time. When I come to your desk, please make sure your cards are packed. Leave them on your desk. Can I have the people in Teacher C’s group stand? Push your chairs in. No, listen to what I am going to say. You are to walk in this direction to go to your group. So, go in this direction to go to group. Student C. Can I have the people in my group bring pencils. Please stand and go to your group. And can I have the people in Teacher D’s group go to your group, please. Nope, go to your group. I’ll talk to you at group. Go to your group. I’ll talk to you in group. Quick. Okay, if you’re in my group, honey, remember, you can go in here. No, here’s there. Honey, I want him on the end. I want you over here with Student J. You two worked beautifully together. Have a seat. You’re going to be here, honey. You’re going to be here. Thank you. It is, honey. I’m going to switch it around. So, hold on. I’m going to switch the camera, okay? But I need you to sit first. Student J, you’re going here. This is where you sit. Student B is coming. She’s getting her things. No. Have a seat. Student J, you need to sit flat, honey. I want you to come over here with this group for Student J. Can you put that in that person’s desk, please? They left before they did. You need to sit flat, and you need to put your pencil down. Student D, you need to stand. You need to come here, because Student B is going to do something with Student J. Student B, you need to do the three’s honey. You two have this perfect. You’re going to work on tens with me, okay? Can you move over? Student L, your partner is waiting for you. You [inaudible]. You need to sit down. You need to focus. You’re going to quiz Student D first, then Student D is going to quiz you. And then I’m going to come to your group and quiz you. And I know these two. Excellent job. You only missed two yesterday. I think you’ll have them all, today. Because I want the camera to us, so I want to make sure it can see you. Thank you. And you need to sit up, or I’ll give Student J a new partner. Thank you. Okay, you ready? Look at me. Remember it’s see-it, say-it, all right? Shh. See-it, say-it. Go.",teacher,"Six plus zero is six. You want a nine, or a ten. So, what do you need that card to be? Make it a three. You’re doing really good. What honey? Well, write it on your paper and see if you like that combination. All right. See if it adds up to what you like. Yes? Excellent. Excellent. That’s a great score. Okay, you need three more rounds. Three more rounds. All right. Can I have eyes up? Eyes up. Two more minutes. At the end of two minutes, you’ll need to pack up the cards. The person that I gave the cards to will pack up the cards, and they will seal the package, and they will hand the cards back to us. You’re going to put your game in your to-do folder, because we’ll play later, all right? Teacher H’s people, after we pack up, I’m going to send you to group, okay? And then we’ll break into our groups. Two minutes. So, finish the round you’re on. If you’re finished with that one, start packing. So, if you’re finished with that one, start packing up your cards, and the person that I gave the cards to is responsible for packing them up. So, just finish the one your on. Student K, just finish the one you’re on, honey. Student K, okay?",student,[Inaudible].,teacher,"Scrap paper, and your game. So, you’re Close To 1,000 sheet, and your scrap paper go in your to-do folder, okay? The cards get packed up by the person I gave them to. So, only one person is packing. Can I have Teacher H’s people raise your hands? All right. Student J, give the cards to Student D. He’s going to path. And you may go to your group. And you’re going – come around this way, I’ll show you how to walk out. Student D, give your cards to your partner. He’ll path. Can I have Teacher H’s people, please. Give your cards to your partner, honey, he’ll path.",student,Give me the cards.,teacher,"Wait right here. And Teacher F’s people are coming this way, with me. Don’t worry about that, honey. Nope. Nope. Student S, look at me, honey. That way. Go that way. Shh. Listen to me. You know where you’re going with Teacher H. You’re going to quietly get there. You’re going to walk in a nice, straight, quiet line, all right? Tell her I’m sorry we’re late, okay? Thank you. Student J, nice straight, quiet line. Do not disturb anybody else working. Okay, you need to clear your desk. The only think that should be left is a pack of cards. In your to- do folder, Student J. Thank you, Student S. Thank you, Student G. Thank you, Student G. Student P, one person is packing from the group, so whatever person was in charge of the cards when I handed them out, that is the person packing. All your papers are in to-do. So, when I look at your desk, it should look like Student S’s. It should look like Student G’s. Student K is not ready. Student J, you’re sitting, honey. I’m going to get all the cards at the same time. When I come to your desk, please make sure your cards are packed. Leave them on your desk. Can I have the people in Teacher C’s group stand? Push your chairs in. No, listen to what I am going to say. You are to walk in this direction to go to your group. So, go in this direction to go to group. Student C. Can I have the people in my group bring pencils. Please stand and go to your group. And can I have the people in Teacher D’s group go to your group, please. Nope, go to your group. I’ll talk to you at group. Go to your group. I’ll talk to you in group. Quick. Okay, if you’re in my group, honey, remember, you can go in here. No, here’s there. Honey, I want him on the end. I want you over here with Student J. You two worked beautifully together. Have a seat. You’re going to be here, honey. You’re going to be here. Thank you. It is, honey. I’m going to switch it around. So, hold on. I’m going to switch the camera, okay? But I need you to sit first. Student J, you’re going here. This is where you sit. Student B is coming. She’s getting her things. No. Have a seat. Student J, you need to sit flat, honey. I want you to come over here with this group for Student J. Can you put that in that person’s desk, please? They left before they did. You need to sit flat, and you need to put your pencil down. Student D, you need to stand. You need to come here, because Student B is going to do something with Student J. Student B, you need to do the three’s honey. You two have this perfect. You’re going to work on tens with me, okay? Can you move over? Student L, your partner is waiting for you. You [inaudible]. You need to sit down. You need to focus. You’re going to quiz Student D first, then Student D is going to quiz you. And then I’m going to come to your group and quiz you. And I know these two. Excellent job. You only missed two yesterday. I think you’ll have them all, today. Because I want the camera to us, so I want to make sure it can see you. Thank you. And you need to sit up, or I’ll give Student J a new partner. Thank you. Okay, you ready? Look at me. Remember it’s see-it, say-it, all right? Shh. See-it, say-it. Go.",student,Twenty.,teacher,Double.,0,0,0,1,0
2128_143,"Miss D, would it be easier for you to have them sit at this group and you can pull your chair over?",teacher,"The yellow folder. So why isn't yours in the yellow folder? Student C, can you put this paper in your desk 'cause I think I'm gonna sit at your desk. Is that all right with you if I sit at your desk?",student,Yeah.,teacher,"Thanks. All right my friends. Will you get the paper out, the white lined paper for everyone? Student D, where you supposed to be? Three goes to one. You should know that by now.",student,[Inaudible].,teacher,"Miss D, would it be easier for you to have them sit at this group and you can pull your chair over?",teacher,Here you go. That's where Miss D's gonna sit. Who else is in your group?,student,[Inaudible].,0,0,0,1,0
2141_454,I know you guys can do it. Are you guys ready? You need to move and put your motion geometry away please. Do you know what you’re supposed to be doing?,student,It’s weird ‘cause our class gets something on the first try.,teacher,I know. It’s pretty exciting. Let’s go. Put your motion geometry on your clipboard. You need to paperclip it together please.,teacher,"Student E, you can join Student J’s group.",teacher,"You need a whiteboard. Girls, give me five. I’d like to have five please. I have some groups that are already way too noisy and I’ve got some groups that are ready to roll. So I want your group to be one that’s ready to roll.",teacher,I know you guys can do it. Are you guys ready? You need to move and put your motion geometry away please. Do you know what you’re supposed to be doing?,student,Yes.,teacher,"This group is way too noisy already, so you need to tone it down right now.",0,0,0,1,0
2158_32,"One. When we look at these, how many directions do we see the lines going in?",teacher,"Okay, we haven’t gotten there yet so just hold on a second. Is there anyone that doesn’t get why this is three-fifths? Okay, Student M, do you see one, two, three, four, five? Do you see that? Okay, so of the five, one, two, three sections are shaded in. You're not looking at any of this stuff. You're only looking at which ones we drew these lines through. So do you see that that was three? You sure? So you understand why this fraction, three-fifths, is representing that? Okay. Now what we want to look at would be the number of squares that were shaded in like this really – where you see them crossing. You see some lines going this way and then some going this way. When we look at these, how many directions do we see the lines going in?",student,One.,teacher,"One direction. When we look at these, how many directions do we see the lines going in?",multiple students,One.,teacher,"One. When we look at these, how many directions do we see the lines going in?",student,Twice.,multiple students,Two.,1,0,1,0,0
2254_55,I’m cheating. Excuse me. 62. Keep going.,teacher,58,multiple students,60,teacher,60. Keep going.,multiple students,62,teacher,I’m cheating. Excuse me. 62. Keep going.,multiple students,64,teacher,64. Keep going.,1,0,0,0,0
2254_66,"You jumped ahead. You forget 102, 104, some people. We got 20 going on here. 106, 108, 110.",multiple students,"70, 72, 74, 76, 78.",student,80,teacher,Good going. Somebody caught you guys. Go ahead.,multiple students,"82, 84, 86, 88, 90, 92, 94, 96, 98, 100, 102, 104.",teacher,"You jumped ahead. You forget 102, 104, some people. We got 20 going on here. 106, 108, 110.",multiple students,112,teacher,112,0,1,0,0,0
226_11,You could have had a rectangle. What else could we have had?,teacher,A general quadrilateral. So you could have a –,multiple students,Square.,teacher,Student E?,student,Rectangle.,teacher,You could have had a rectangle. What else could we have had?,student,A rhombus.,teacher,A rhombus. You could have had a –,0,0,1,0,0
2298_269,Put it here. Now what is 15 plus 15?,teacher,Is that the same distance?,student,Yes.,teacher,So what is it from here to here?,student,15,teacher,Put it here. Now what is 15 plus 15?,student,30,teacher,"Now do you see how you have transformed it? So from here now to here will be your 30. Put a line to show it. Put a line to show the [arrowhead]. Go like this. So just a line from here has been doubled. It has doubled. Move it there for 15. That's 30 now. 15 plus 15 is 30. That's 30. 30. So I'm seeing here you cut this in half, and you have shortened this side to 4. And this side is 4.",1,1,1,0,0
23_60,"Equilateral triangle. So, on a equilateral triangle, look, we’ve got a line that comes this way, you got a line that comes this way and you got a line that comes this way. So, I wasn’t sure that that is the only one with one line of symmetry. No, that would not be our answer. Student N, you think you know? Can you come up here?",teacher,"It’s called in [Elvis] and it’s all the sides are equal, so it’s called an –",student,Equal –,teacher,Equilateral triangle.,student,It’s called an equilateral.,teacher,"Equilateral triangle. So, on a equilateral triangle, look, we’ve got a line that comes this way, you got a line that comes this way and you got a line that comes this way. So, I wasn’t sure that that is the only one with one line of symmetry. No, that would not be our answer. Student N, you think you know? Can you come up here?",student,"Oh, I know.",teacher,Is Student N – is it okay – did Student N sign the sheet? Double check that. Make sure he can be in the –,1,1,0,0,0
245_361,I need you back in your seats.,teacher,"If you can hear my voice, clap once.",multiple students,[Claps],teacher,"If you can hear my voice, clap twice.",multiple students,[Claps],teacher,I need you back in your seats.,student,[Inaudible].,teacher,Now estimate that one.,0,0,0,1,0
2468_145,Plus what?,teacher,"So I can say as my answer I have 1-sixth plus 1, 2, 3, 4 – are you ready for me still – 4-thirds. Right? Here I go, working myself to death. You ready for me? So that means I have 1-sixth plus 1 whole with 1-third left over. Why did I put a plus symbol there? Because I’ve got to keep working. Also, I’ve got to bring it down to the next. So then I’m gonna change it over.",teacher,"I have one whole, right, plus I have 1-sixth. Well guess what? We know what 1-third is working for, right. 1-third is 1- sixth plus 1-sixth. Right? So that gives me 1 and 3- sixths. If I reduce it, that gives me 1 and one-half. That’s gonna be my answer. That’s gonna be my total for this answer, 1 and one-half. Right? Okay. Now, I’m gonna move things out of the way. 5-sixths plus 2-thirds is equal to 1 and one-half. I moved it out of the way.",teacher,"Now we’ve got to go back. We’ve got to go back. So, we’ve got to go back. We have a box divided into 6 pieces and we need to figure out 2-thirds. So we said 1-third plus 1- third is equal to 2-thirds, but in order to get 1-third we had 1-sixth plus 1-sixth. Right. Okay. Then this third is also what – 1 what?",student,[Inaudible].,teacher,Plus what?,multiple students,One-sixth.,teacher,Okay. Now my denominator stays the same. Correct? What’s my numerator?,0,0,1,1,1
2471_113,So that’s 240 and [inaudible].,teacher,"Seven, good choice. So this is gonna be 230. [Inaudible].",student,Ten.,teacher,"Ten, there you go. So 10.",student,80,teacher,So that’s 240 and [inaudible].,teacher,So that’s [inaudible]. So we’re gonna take it and put a 60 in and you get what? 300. So put 60 there.,student,229,0,0,0,REVIEW,0
2476_179,The interval. So we can either show it as either the difference or we're going to show it as the interval. I think we've talked it to death.,teacher,And how I got my answer. I could show my subtraction work and that would count as my explanation. That would be my show. What's the other way to answer a range question?,student,You can put down the lowest number and then the highest number.,teacher,"Do you remember what we call it when we write it as the lowest number through the highest number? It's a fancy ""I"" word.",student,Interval.,teacher,The interval. So we can either show it as either the difference or we're going to show it as the interval. I think we've talked it to death.,student,Mm-hmm.,student,No.,1,1,0,0,0
2483_254,"Okay. Let me just hang on for a second. Student N is saying that we look at the numerator and we look at the denominator, and we’re deciding if it can be in the simplest form, if there’s a number that goes into the numerator that also goes into the denominator evenly. So I see 1, 2, 3, 4, 5. Let me see some other hands up, 6, 7, 8, that if I were to call on any one of you, you’d be able to give me the final answer in a fraction form reduced. Student T.",teacher,Nice and loud. A number that goes into the –,student,10 and the –,teacher,What is the 10 called?,student,[Inaudible].,teacher,"Okay. Let me just hang on for a second. Student N is saying that we look at the numerator and we look at the denominator, and we’re deciding if it can be in the simplest form, if there’s a number that goes into the numerator that also goes into the denominator evenly. So I see 1, 2, 3, 4, 5. Let me see some other hands up, 6, 7, 8, that if I were to call on any one of you, you’d be able to give me the final answer in a fraction form reduced. Student T.",student,One-half.,teacher,"Thank you so much, Student T. Say it again.",1,0,0,0,0
2491_89,"Student C, if it’s better you can join this group right here. Otherwise, move your chair and just sit there so you’re not on the outside of the group. Just grab a chair and sit here. That way you’re not on the outside of the group. Guys, here’s the cube again.",teacher,Here is the cube. I’ll hold it up. How many of these do you think it would take to fill up that box?,student,To the tip-top?,teacher,To the tip-top and fill every speck of space in that box.,teacher,"Guys, just you and your group members take your best guess.",teacher,"Student C, if it’s better you can join this group right here. Otherwise, move your chair and just sit there so you’re not on the outside of the group. Just grab a chair and sit here. That way you’re not on the outside of the group. Guys, here’s the cube again.",teacher,Try and have your guess set up in about the next 30 seconds or so.,teacher,"Guys, I don't know if that helps you because we’re measuring by cubes. We’re just gonna call it by cube because that’s what this thing is. Okay. Let’s see. Guys, one thing I should have mentioned, will you go ahead and circle this number you wrote down, whatever your guess was, and will you just write it by it “first,” and what that first means is first guess. Just put a 1 and an S-T for first. Make it easy. Again, just circle the number you made your guess, because I think your guess will change as we go through this.",0,0,0,1,0
250_50,"So you look at the thousand and see the thousand and thousand and then you look at the rest of the number. Student H, what do you think?",teacher,"Excellent. One thousand one hundred seven. So 1,107. Does anyone have any question where those two numbers came from? With us so far? So from Seattle to Minneapolis, it takes 1,685 miles and from Minneapolis to Washington D.C. is 1,107 miles. The question is if they travel all different places – all these three places – how many miles do they travel all together? What do you do? You add them up.",teacher,"So I’m gonna do – okay. Now before you tell me the answer, what do you think the – estimate what do you think will be the answer. Is it closer to 2,000, closer to 3,000? What do you think? I want you to turn to your partner and share. What do you think is close – [inaudible] your estimate.",teacher,"[Inaudible] So you keep looking – you’re looking at the ones place because you want to keep adding up. But I’m looking for an estimate. That means I don’t need to know the exact answer yet. I want to be close to, so what do you think, Student H? You just shouted out 3,000.",student,No I didn’t.,teacher,"So you look at the thousand and see the thousand and thousand and then you look at the rest of the number. Student H, what do you think?",student,"It’s two thousand, right? Two thousand plus [inaudible].",teacher,"It’s not gonna look at [inaudible]. San Francisco. Okay so Student H, since you – can you explain to me is it closer to two thousand or three thousand? What was your estimate?",0,0,1,0,0
2521_164,Why does a person have to line up the decimals? Why?,teacher,"You can yes, oh no you have to put the zero after cause I wrote 5.",student,Did you want us to write the answers?,teacher,I don’t want you to write the answers I want you to tell me why.,student,Oh.,teacher,Why does a person have to line up the decimals? Why?,student,I put the answers though.,teacher,"That’s great now use the answer to help you figure out why, why’d you line those up?",0,0,1,REVIEW,0
2529_98,"No. You stop. After you've gotten five tenths colored five times, you stop. I have – here's one tenth, two, three, four, five. I look at those and the answer is – what, Student I? One whole, two wholes, and a half.",teacher,"Five different colors. 2, 3, 4, 5. Then I find another set of colors. Green doesn't show up, so I have to use purple. 1, 2, 3, 4, 5. So I have so far three groups of 0.5. This is 05. I've got to do two more groups. I have some more colors. There's some blues. Then you're going to color five tenths with each a different color and that will show you the answer.",student,So we need six different colors?,teacher,You just need five. We'll need eight here and three here. We can get more colors out if you need to. This is five times.,student,You don't color this one?,teacher,"No. You stop. After you've gotten five tenths colored five times, you stop. I have – here's one tenth, two, three, four, five. I look at those and the answer is – what, Student I? One whole, two wholes, and a half.",student,Two and—,teacher,Two and five tenths?,0,0,1,0,1
2610_308,"You don’t get it? Okay. You’re right, Student C. Keep going. You know how to do it. Well, if six are left and then that’s six out of twelve, and six were taken, it’s probably the?",teacher,"Nope, you’re fine. Go have a seat.",student,"Can I go [inaudible], because I have to go –",teacher,"Stop. Can you help Student J? Just color in the eggs and then have him do the paper on his own? All right. I’m coming to collect them. You should have had enough time. I have to say I would like Student D, Student E, and Student D to go put a point in for responsibility for their team. There was no chatting, over there. And I see some different answers on their paper. Different work done, so I know that they worked independently. Student J, can I have yours? When I collect your paper, you can put the eggs together. [Inaudible]? [Inaudible] are you almost done? All right. Here’s your ticket. Why don’t you have an answer, sweetheart?",student,[Inaudible].,teacher,"You don’t get it? Okay. You’re right, Student C. Keep going. You know how to do it. Well, if six are left and then that’s six out of twelve, and six were taken, it’s probably the?",student,Denominator?,teacher,"It’s probably the same, because six out of twelve are left in there, and six out of twelve were taken.",1,1,1,0,0
2627_110,We need your math knowledge. Show us some math knowledge.,teacher,[Laughing].,student,[Crosstalk].,teacher,"Yes, you always like being the center of attention. Come on up. Yes.",multiple students,[Inaudible].,teacher,We need your math knowledge. Show us some math knowledge.,student,[Inaudible] start nibbling on his homework.,teacher,"[Inaudible]. Quickly. Quickly. We only have like, a couple of minutes. Quick.",0,0,0,1,0
264_132,This one?,teacher,"The rectangles are the same. I'm going to take the same 6 and move it up here so this one is 6 too, and again, what's my formula for finding the rectangle?",multiple students,[Inaudible].,teacher,What's this one? 24—,multiple students,Centimeters squared.,teacher,This one?,multiple students,24 centimeters squared.,teacher,"What's my formula, Student B, for finding the area of a square?",0,0,1,0,0
