OBSID,target_comb_idx,target_text,ctx_-4_speaker,ctx_-4_text,ctx_-3_speaker,ctx_-3_text,ctx_-2_speaker,ctx_-2_text,ctx_-1_speaker,ctx_-1_text,ctx_0_speaker,ctx_0_text,ctx_1_speaker,ctx_1_text,ctx_2_speaker,ctx_2_text
51,51_305,Use a calculator.  That can’t possibly be right.,teacher,Divided by?,student,"Mr. H, this is a new number. ",teacher,"The [inaudible] go up to the hundreds.  Yeah.  That, that.",student,Mr. H - ,teacher,Use a calculator.  That can’t possibly be right.,student,"Mr. H – see, look. ",teacher,"All right, let me just see what you have.  Let’s see what you guys have."
214,214_61,You’re right.  Sorry.  No drinks for you.,student,But she don’t have beverages.,teacher,"You’re right.  Okay, so you’re working with somebody else?",student,[Inaudible],teacher,"Okay, so maybe she has beverages on hers.  You can mix them. Maybe you’re ordering beverages from [Inaudible]",teacher,You’re right.  Sorry.  No drinks for you.,teacher,You can work together.  Absolutely.,teacher,What’s your menu?
4420,4420_76,Ninety -,teacher,"Ninety, divided by five?",student,[Inaudible].,student,[Inaudible].,student,[Inaudible].,teacher,Ninety -,student,[Inaudible].,teacher,- divided by five.  How many fives would there be in nine?
602,602_27,"That’s right so four out of ten is bigger, and I actually have something that I think will really help you guys understand.",teacher,"Yeah, four hundredths.  You just said zero, so you read and identified the zero, but I need you to make sure that you’re reading and identifying everything after the decimal point.  Now what’s the difference between six and four tenths and six and four hundredths?  Six and four tenths and six and four hundredths, Student S?",student,Six and four hundredths [Inaudible].,teacher,"All right, so Student S says six and four hundredths is bigger than six and four tenths.  What makes you think that it’s bigger?  So if I were to write this as a fraction, Student S, I would say four over one hundred, right?  So that would mean whatever my whole amount is gets cut up into one hundred pieces, and I’m getting four of them.  This one means four out of ten.",student,"They’re almost [too high though].  Be six [Inaudible], six and four hundredths is only four out of ten.",teacher,"That’s right so four out of ten is bigger, and I actually have something that I think will really help you guys understand.",student,I always thought that the hundredth was bigger ‘cause it said hundred.,teacher,"I know, so that’s a little bit confusing because it says hundred.  Does it say hundreds?"
4244,4244_355,"Not a polygon.  [Teacher writing on board].  Okay.  Do we agree, so far?[End of Audio].",teacher,"So number one is, according to Student T, a polygon.  I’m going to mess this up, I know.  But it looks kind of like this. That’s – I’m just going to put the number of it in it, okay?",student,Mm-hmm.,teacher,"Number two.  Who would like to do number two?  Once I’ve called you, you’re done, because there’s enough for everybody to do one.  Student M?",student,Number two is not a polygon.,teacher,"Not a polygon.  [Teacher writing on board].  Okay.  Do we agree, so far?[End of Audio].",multiple students,Yes.,student,Yes.
508,508_730,What's the problem?  What are our two fractions?,teacher,Why?  I have heard that before.  I should have known.  Did you get it right?  The first time?  Great.  Clear it off and go play bingo.  Okay.,student,I need help with number 12.,teacher,"I’m going to - I don't see that going on.  Okay.  Student, read the problem for me.",student,[Inaudible],teacher,What's the problem?  What are our two fractions?,student,[Inaudible] and three tenths.,teacher,What's wrong with those two fractions?
4009,4009_110,Number four?,teacher,"No, go ahead.  Why not?  What do you know about these numbers right here? Go ahead and finish all nine.  I know there are some who have [Inaudible].  That’s okay.  We’re gonna talk those out. Again, number two is which operation?",student,Model.,teacher,Number three is which operation?,student,Equivalent.,teacher,Number four?,student,Least to greatest.,teacher,"Least to greatest.  Five?  Least to greatest would be ordering, yes?  Number six?"
2067,2067_73,"Now we have a 0 here and we know anything times 0 is 0, but for those people who need this, we'll go ahead and multiply those 2.  0 times 7 is—",teacher,Everybody agree?,multiple students,Yes.,teacher,Are we worrying about decimals now?,multiple students,No.,teacher,"Now we have a 0 here and we know anything times 0 is 0, but for those people who need this, we'll go ahead and multiply those 2.  0 times 7 is—",multiple students,0.,teacher,Where does the 0 go?
4248,4248_190,"- nine forty, down to a thousand?  Count with me.  Ten.",teacher,"[Teacher writing on board].  Now that I have forty, I can jump right there.",student,Plus.,teacher,"Because I know what it takes to go from 40 to my next number. Student M, watch that waving that hand, there.  You’re bumping people in the head.  And if you do bump someone, make sure you say sorry so they know it was an accident. Student C?  How many tens is it going to take to go from -",student,Oh.,teacher,"- nine forty, down to a thousand?  Count with me.  Ten.",student,[Inaudible].,teacher,Ten.
845,845_479,What do you do to figure it out period?,student,About –,teacher,"I’m gonna give everybody a chance to work it.  This is about. I want to know about how many.  Now obviously we could go out and buy the exact number, but let’s just say that these numbers kind of fluctuate.  This is approximately how many kids bring their lunches.  And remember, it can change from day to day.",teacher,"So the principal wants to buy popsicles for the kids who bring their lunches.  I want to know about how many popsicles is he gonna have to buy?  What do you do to figure this out, then?",student,[Inaudible],teacher,What do you do to figure it out period?,student,Add them all.,teacher,"First you need to add to figure out how many kids are bringing their lunches.  When you added all of these numbers, what did you get?"
2189,2189_213,Get it?  Careful.  How did you do it on this side?  Like that? Just turn it over like you’re turning a page in a book. Like this.,teacher,I’m checking your other ones.  This looks good.  This looks good.  All this looks good.  Now you’re trying to get that. How did you have it the first time?  Like this?,student,Mm-hm.,teacher,Watch.  The trick is turn it like you’re turning a page in a book.,student,Oh.,teacher,Get it?  Careful.  How did you do it on this side?  Like that? Just turn it over like you’re turning a page in a book. Like this.,student,[Inaudible].,teacher,"Mm-hm.  Yeah.  A couple people are having that same problem. Student J, I’ll show you a cool little trick.  So, put it on there like you did it.  Put it over that."
308,308_45,"She wrote it out.  Student L, can you read to me what you wrote?",teacher,It’s going this way.,multiple students,Less.,teacher,"Less, so what kind of angle would that be?  Student C?",teacher,"Acute.  So we have obtuse and acute angles for a trapezoid, but a square has four right angles?  And then Student L, how did she explain her answer?",teacher,"She wrote it out.  Student L, can you read to me what you wrote?",teacher,"So Student O explained it by using angles, and Student L explained it by using?",teacher,"Okay, she did use words but Student O explained their sides, how they're different.  Student L used their?"
4197,4197_557,Where can you show me where he helped you?,teacher,What did you do last night?  Did you just circle without working?,student,My brother helped me on that.,teacher,Hm?,student,My brother helped me on that one with the answer.,teacher,Where can you show me where he helped you?,student,We left it at home because we wrote it on a piece of paper.,teacher,"Mark those wrong.  Get that written down.  This is test review, right, guys?"
766,766_228,"Well I didn’t make my box any longer, but yes 12 and two would be next.  Do you see why it has to be like this?  Student D you still look confused.  Think of it like this.  Input is your dividend.  Now you know this is only for division, right?",teacher,Thirty and?,teacher,Five.  What comes next?,teacher,Twenty-four and four.,teacher,Eighteen and three.,teacher,"Well I didn’t make my box any longer, but yes 12 and two would be next.  Do you see why it has to be like this?  Student D you still look confused.  Think of it like this.  Input is your dividend.  Now you know this is only for division, right?",student,Yeah.,teacher,Your input is your dividend and your output is your quotient. Think about it that way.  And then your rule is the divisor.
3,3_6,"Okay.  So looking at the second problem, the equation, if you know that, you cut it in half – why can you do that?  So you’re looking at the answer here, is half of the answer to the second one?",teacher,C?  Okay.  How are they related to each other?  How are the problems related and how are the two answers related? Student M?,student,"Because 16 times 3 and 16 times 6, they both involve 16.",teacher,"They both have one factor of 16.  Okay.  What else?  How else are they related, Student C?",student,"Because 16 stays the same but your actually getting the answer to – if you look at the second one and if you know it, you can just like cut it in half and then you have the answer for the first one.",teacher,"Okay.  So looking at the second problem, the equation, if you know that, you cut it in half – why can you do that?  So you’re looking at the answer here, is half of the answer to the second one?",student,Yes.,teacher,How come?
70,70_151,You tell me you’ve finished and you haven’t [inaudible].,teacher,"Rethink.  I want someone to explain the directions, because they’ve read and thought about them.  Wait a second. You’re reading and thinking?  Good for you.  I just want a moment of discussion, Student L, just to make sure we’re really understanding.  Now, what do you understand of the directions here?",student,"I understand the direction, that it said to look in your project book and to find the number that goes into [inaudible] chart, like, for example, like where does 375 go?  It goes in the 400s chart.  That’s what I understand in the directions.",teacher,"Do people feel like [inaudible] just said, or is anybody confused?  [Inaudible] page 2, talk to the person beside you [inaudible] challenge paper that we’ll do.  Kind of look at me.  I have a challenge paper [inaudible].  They’re riddles about numbers.  [Inaudible.]  You don’t even know. Go ahead.  Get started.",student,I already got started.,teacher,You tell me you’ve finished and you haven’t [inaudible].,student,Yes I did.,student,[Inaudible.]
4470,4470_416,"Negative five, one.  [Teacher writing on board].  [Inaudible].",multiple students,[Inaudible].  [Shooting].,student,"Oh, that [inaudible].",teacher,Shh.  Very good.  Student G?,student,"Negative five comma, one?",teacher,"Negative five, one.  [Teacher writing on board].  [Inaudible].",student,[Inaudible].,student,And make sure [inaudible]?
209,209_75,"Come on, Student S.  Ten across.  Student M.  Did you go ten across?  Twenty high?  But, this is not the type of triangle that we’re doing.  Notice the type of triangle that we’re doing.  We’re not doing – see you have to find the five point.  The middle of the graph paper.  So you’re going to go across one, two, three, four, five.  And go up 20.  You’re going to go across 20, but when you’re going to do your points, you’re going to go to the five, which is halfway.  Then go up 20.  Because this is not a right triangle.  A lot of people are making right triangles.  Go across ten.  And you have to get to five.  One, two, three, four, five.  Then you’re going to go up 20.  Go up 20 from the center.  That’s what the picture – after you go across 5, then go up 20.  It’s not a right triangle.",student,[Inaudible] go like this.,teacher,"Okay, base should not be going up.  Our base is ten across.  So it’s the bottom number.  Student C, have you gone ten across?  Have you gone ten across?  Is this ten across?",student,Yes.,teacher,"One, two, three, four, five, six, seven, eight, nine, ten.  Now you have to go 20 high.  So you’re going to find number 5 and go up 20.  You go up from the center.  Student S.  That was the number that Student R picked, so.",teacher,"Come on, Student S.  Ten across.  Student M.  Did you go ten across?  Twenty high?  But, this is not the type of triangle that we’re doing.  Notice the type of triangle that we’re doing.  We’re not doing – see you have to find the five point.  The middle of the graph paper.  So you’re going to go across one, two, three, four, five.  And go up 20.  You’re going to go across 20, but when you’re going to do your points, you’re going to go to the five, which is halfway.  Then go up 20.  Because this is not a right triangle.  A lot of people are making right triangles.  Go across ten.  And you have to get to five.  One, two, three, four, five.  Then you’re going to go up 20.  Go up 20 from the center.  That’s what the picture – after you go across 5, then go up 20.  It’s not a right triangle.",teacher,"Good.  Good, Student C.  Yes.  Excellent.  Student C has – and he even drew a box around it, which is what we’re going to get to.  See that?  Yours should look like this.  He went across 20.  Then he went to 5 and he went up – I mean across 10 and he went up to 20.  His actually –he’s got it reversed, but you should go across ten.  He went across 20 and up 10.  Would it be the same area?",student,Yes.
264,264_360,15 plus 3 is?,teacher,18 what?,multiple students,Feet squared.,teacher,36 times 5 is – 3 times 5 is?,multiple students,15.,teacher,15 plus 3 is?,multiple students,18.,teacher,Now I have to add 180 plus 48 plus 18.  Thank you.  What's the answer?
2471,2471_113,So that’s 240 and [inaudible].,teacher,"Seven, good choice.  So this is gonna be 230.  [Inaudible].",student,Ten.,teacher,"Ten, there you go.  So 10.",student,80.,teacher,So that’s 240 and [inaudible].,teacher,So that’s [inaudible].  So we’re gonna take it and put a 60 in and you get what?  300.  So put 60 there.,student,229.
2463,2463_165,"Five-fifths, so I notice on this five-fifths is the same as one whole.  There’s my math connection.  On my sticky-note I’m writing five-fifths is the same as one whole, okay? Go ahead and finish your sticky-note and move to the next station.",multiple students,[Inaudible].,student,[Inaudible] ask a question.  Ask a math question.,teacher,It’s split into five pieces.  How many of the five are colored in?,student,Five fives.,teacher,"Five-fifths, so I notice on this five-fifths is the same as one whole.  There’s my math connection.  On my sticky-note I’m writing five-fifths is the same as one whole, okay? Go ahead and finish your sticky-note and move to the next station.",student,"Teacher R, could you [inaudible].  [Students working on problem].",teacher,"All right guys, swap please.  The next two minutes starts.  All right.  Move along.  Student V, you guys are going over here.  My friends that were at this station, you need to go all the way over to the other side."
737,737_492,"All right.  Do I have – boys at the back, do I have your attention?",teacher,"Okay.  We are gonna talk about – let’s talk about this.  I talked about it with most of you, but let’s all talk about it together.  Let’s look at number nine, I think.",student,Nine and ten.,teacher,Nine and ten.  They’re on page four.  Your mouths are quiet. Okay.  Anyone have my pen?,student,Right there.,teacher,"All right.  Do I have – boys at the back, do I have your attention?",multiple students,Yes.,teacher,"Okay.  Thank you.  Student P, if you can’t see, move.  I know Student B’s tall.  All right.  So, we have five little squares colored in.  Okay?  And I walked around, and everybody had a fraction, five out of a hundred, which is true.  And what percent is that, Student B?"
2616,2616_222,"Quarter inch or one fourth of an inch, and our last one is going to be what, Student M?",teacher,Why do you think two and a half?  How do you know it's closer to two and a half than to two?,student,Because the line is one more.,teacher,"The line is right.  We see one line, two lines and a little bit more.  This one is only one line, not even a second full one, right?  So it's closest to two and a half inches.  So you would put a comma, then your two and one half inches. A third measurement is to the nearest what?  We did the nearest inch, nearest half inch.  Your directions are on the top.  It's to the nearest – your directions are at the top of your paper.  It's to the nearest what?  Okay.  That direction has been read four times.  We found measurements to the nearest inch.  Look at your directions on your paper and read them with your own eyes, your paper.  Nearest inch, half inch – Student K—",student,One fourth.,teacher,"Quarter inch or one fourth of an inch, and our last one is going to be what, Student M?",student,One eighth.,teacher,"So we did our full inch, our half inch, so now we need to measure to the nearest quarter inch.  We started on the ruler.  Remember a quarter is not as long as a half, but it's longer than an eighth.  So we have zero inches starts here.  That's one whole.  Half is in the middle of that. We remember a quarter is halfway between zero and one half. There's a quarter.  Is it closest to one fourth of an inch, two fourths, which is the same as what?  What line is that?  Student R?"
2015,2015_342,"You’re multiplying it by 10 percent.  So if that was a decimal, what would it look like?",teacher,"Who’s winning?  I’m not sure who’s using the baby voice in fifth grade, but it needs to stop.",student,"Regular, $25.00 to the person –",teacher,"Oh, power of 10, power of 10.",student,"Oh, [inaudible] 25 times –",teacher,"You’re multiplying it by 10 percent.  So if that was a decimal, what would it look like?",student,Zero point one.,teacher,"Zero times 1-tenth.  So if you’re multiplying it by a tenth, what happens to your decimal?"
726,726_438,"Now, Student D, I like that you tried to move ahead and tried to simplify it which is a great job.  Okay?  But remember, an improper fraction is that our denominator is bigger than our – I mean our numerator is bigger than our denominator. Look at your new answer.  Is your numerator bigger than your denominator?",teacher,"Four.  No, no, no.  Student D.  Why are you dividing by three?",student,Just to check my answer and see if it’s correct.  [Inaudible].,teacher,As the?,student,[Inaudible],teacher,"Now, Student D, I like that you tried to move ahead and tried to simplify it which is a great job.  Okay?  But remember, an improper fraction is that our denominator is bigger than our – I mean our numerator is bigger than our denominator. Look at your new answer.  Is your numerator bigger than your denominator?",student,No.,teacher,"No.  So let’s look at that again.  No, you didn’t add.  So when you simplify whatever you do to the top you have to do to the bottom, right?"
4053,4053_551,[Inaudible] no.,teacher,If we can divide it -,student,It’s no.,teacher,"It’s no.  If we can’t divide it, then it is -",student,It’s no.,teacher,[Inaudible] no.,student,It’s not.,teacher,"Let’s try.  Shh.  All right, voices off, please.  Thank you. All right, let’s get to number twelve.  What are the factors of twelve?"
2627,2627_110,We need your math knowledge.  Show us some math knowledge.,teacher,[Laughing].,student,[Crosstalk].,teacher,"Yes, you always like being the center of attention.  Come on up.  Yes.",multiple students,[Inaudible].,teacher,We need your math knowledge.  Show us some math knowledge.,student,[Inaudible] start nibbling on his homework.,teacher,"[Inaudible].  Quickly.  Quickly.  We only have like, a couple of minutes.  Quick."
768,768_186,Sure.  I guess.,student,Using variables?,teacher,"No, use real numbers this time – for now.",teacher,"Just two numbers, like five times five.  Just give me the expression that equals 25.",student,[Inaudible],teacher,Sure.  I guess.,student,[Inaudible] minus two?,teacher,"Sure.  All right, everybody got five?"
4480,4480_216,"Okay, but wait a minute.  Is this a third?  Is this a third? Is this a third?",teacher,"Okay, well usually when you want to know 2/3rd you want to find one third first.  Can we easily see what a third of this is?  Student J?  Tell me.",student,A column.,teacher,"Or a row.  She said let’s do rows, it happens to be even because this is a square number.",student,"This is like 2/3rd, like this whole part.",teacher,"Okay, but wait a minute.  Is this a third?  Is this a third? Is this a third?",multiple students,Yes.,teacher,Does 3/3rd make the whole?
2141,2141_454,I know you guys can do it.  Are you guys ready?  You need to move and put your motion geometry away please.  Do you know what you’re supposed to be doing?,student,It’s weird ‘cause our class gets something on the first try.,teacher,I know.  It’s pretty exciting.  Let’s go.  Put your motion geometry on your clipboard.  You need to paperclip it together please.,teacher,"Student E, you can join Student J’s group.",teacher,"You need a whiteboard.  Girls, give me five.  I’d like to have five please.  I have some groups that are already way too noisy and I’ve got some groups that are ready to roll.  So I want your group to be one that’s ready to roll.",teacher,I know you guys can do it.  Are you guys ready?  You need to move and put your motion geometry away please.  Do you know what you’re supposed to be doing?,student,Yes.,teacher,"This group is way too noisy already, so you need to tone it down right now."
2963,2963_246,"Keep it simple.  So what do you get on top?  2 times 2 is 2?  2 times 2 is what, Student G?",teacher,What is she going to do to the top number?,student,"She’s going to, like—",teacher,Not like.  We just said it.  Multiply times—,student,2.,teacher,"Keep it simple.  So what do you get on top?  2 times 2 is 2?  2 times 2 is what, Student G?",student,4.,teacher,So how many tenths do you have?
2699,2699_3,"All the A’s, you’re gonna take the side that has the answer and you read to –",,,teacher,"One and two and three.  We are going to begin the lesson today. I’m not gonna start any lesson now, but I’m gonna go the other way that we do.  So, everybody, take your –",teacher,"Excuse me, one –",teacher,"The second one to you in the classroom, the second one.",teacher,"All the A’s, you’re gonna take the side that has the answer and you read to –",teacher,"Everybody should have a letter now, A and B.  If you are in a group of three, you have C.  Right now we have an equal number and everybody should have A and B.  We have to move now.  Who’s A here?",student,Me.
2521,2521_164,Why does a person have to line up the decimals? Why?,teacher,"You can yes, oh no you have to put the zero after cause I wrote 5.",student,Did you want us to write the answers?,teacher,I don’t want you to write the answers I want you to tell me why.,student,Oh.,teacher,Why does a person have to line up the decimals? Why?,student,I put the answers though.,teacher,"That’s great now use the answer to help you figure out why, why’d you line those up?"
631,631_323,"All right, 139 divided by 23.",teacher,"Well, four would be what?",student,[Inaudible],teacher,Ninety-two.  What happens if I do five?   Guess what?  I get the exact number.  So is that a multiple.,student,Yes.,teacher,"All right, 139 divided by 23.",student,Six.,teacher,You think it’s six?
569,569_34,"You’re gonna do the same thing with your fourths and your eighths.  I know there’s someone behind me, but what’s most important is that I get you started here.  So could I have the back row go back to their seats?",teacher,"Okay.  And when you’re done with that, what will you do next?",student,Color them in.,teacher,You’re gonna color them in.  But what are you gonna do with your fourths and your eighths?,student,[Inaudible].,teacher,"You’re gonna do the same thing with your fourths and your eighths.  I know there’s someone behind me, but what’s most important is that I get you started here.  So could I have the back row go back to their seats?",teacher,"Remember, if I don’t have your permission slip I need you sitting over at that table or in these three desks.  Front row.  Yes.  Grade four, I have two of them that I can give to you.",teacher,"You can sit in your own seat.  Student, where do you usually sit?"
2921,2921_209,"Anywhere else, Student L?",teacher,"I'm going to come over 9, down 9.  Anywhere else I can place one whole, Student C?",student,Eight eighths.,teacher,"Come over 8, down 8.  Anywhere else, Student N?",student,Ten tenths.,teacher,"Anywhere else, Student L?",student,Eleven elevenths.,teacher,"Student C, where is the last place I can place one whole?"
4531,4531_102,Can I still subtract?,teacher,"I agree.  Now, Student J, what do I do?",student,You have to put 5 on top of the 10.,teacher,5 on top of the 10?,student,Mm-hmm.  Then you have to put 6 as the numerator for the other fraction.,teacher,Can I still subtract?,student,No.,teacher,I cannot still subtract.  Okay.
2737,2737_24,That is not correct.  What's 7 squared?,teacher,"You've got to be paying attention, buddy.  Let's go.",student,Because it's still the same value.,teacher,"Okay.  So that's pretty easy.  47.10. That's the circumference distance around.  Now area, a little more complicated.  Now let's just say you don't have the exact answer.  Why would Mr. R not panic?  Why would I not panic if you did not get the exact answer?  What do you think?  As long as you're close, what do you think would happen when you take a test? It's probably going to be close enough for you to look.  I don't think they're going to give you 40 answers within one value.  How many of you think Mr. R would get 100 out of 100 right?  If I sat there at my paper and did 7.5 squared and then multiplied it by pi, I would probably get it wrong every once in a while too.  As long as you show the right stops, it's a lot more important that you show the process. Can anyone tell me if they got 7.5 squared?  What's 7.5 squared, Student G?",student,41.25.,teacher,That is not correct.  What's 7 squared?,student,7 squared is [inaudible].,teacher,Good.  What would 8 squared be?
797,797_53,Some of you are not answering.  It's almost like you don't know.  Is 1 the same as 10?,multiple students,No.,multiple students,Yes.,teacher,"Why?  Because some of you still do not understand what value means.  I have 1 pen.  I put a 0 to this 1 pen that I have. You're telling me, ""I add a 0.""  Some of you are telling me that.  ""I just add a 0.""  You don't understand what a 0 means.  You're saying the number is still the same.  Is 1 the same as 10?",multiple students,No.,teacher,Some of you are not answering.  It's almost like you don't know.  Is 1 the same as 10?,multiple students,No.,teacher,Why not?  Don't talk all at once.  Why is 1 and 10 different? Yes?
4201,4201_589,"Two-fourths is a half.  See if you can find a half in there, and find a third.  Find a half, or find a third.",teacher,What do you have?,student,Two-fourths.,teacher,Two-fourths.  So two-fourths is?,student,A half.,teacher,"Two-fourths is a half.  See if you can find a half in there, and find a third.  Find a half, or find a third.",student,I found a half.,teacher,Put your half down up here.  Find a half or a third.  Find a half or a third.  Find a half or a third.  Find a half or a third.
2935,2935_211,"No, you'll get the opportunity.",teacher,"So you could do 2 times 4 equals 8, or the commutative property tells us we can do 4 times 2 equals what?",multiple students,8.,teacher,"8.  So you guys just worked with arrays.  You worked with repeated addition, and you worked with multiplication.  You ready for the next one?  Let's look at this.  Let's look at this.  Who thinks they can come up – how many repeated addition are we gonna do?  Wow.  Everybody, huh?",student,Are we gonna do the whole thing by itself?,teacher,"No, you'll get the opportunity.",student,[Inaudible] part.,teacher,What part?
4129,4129_264,"5 and 1-eighth plus 9 and 5-eighths, you get –",teacher,10.  So I have 10-twelfths.  What can I reduce 10-twelfths by?,student,2.,teacher,"By 2.  And I get what?  5-sixths and my answer is 9 and 5- sixths.  The next one, 7 and 4-twelfths plus 7 and 6- twelfths and you get 14 and 10-twelfths.  I can reduce 10- twelfths with 2 and I get 5-sixths.  So my answer is 14 and 5-sixths.  If you look at the next one – you’re not even grading your paper.",student,5 and 1-eighth plus 9 and 5-eighths.,teacher,"5 and 1-eighth plus 9 and 5-eighths, you get –",student,14.,teacher,14 and 6-eighths.  I can reduce 6-eighths by what?
