target_comb_idx,OBSID,R1_pred,R2_pred,R3_pred,pred_C1
21_24,21,1,1.0,1.0,0
21_43,21,1,0.0,1.0,0
22_12,22,0,0.0,1.0,1
22_18,22,1,0.0,1.0,0
22_217,22,1,1,1,0
22_237,22,1,0.0,1.0,0
22_259,22,0,1.0,1.0,1
22_267,22,1,1,1,0
22_30,22,1,0.0,1.0,0
22_333,22,0,0,1,0
22_355,22,1,1.0,0.0,0
22_440,22,0,0.0,0.0,1
22_74,22,0,0,1,0
23_173,23,1,1.0,1.0,0
23_191,23,0,1.0,1.0,0
23_422,23,1,0.0,1.0,0
23_424,23,1,0.0,1.0,0
23_561,23,0,0,1,0
23_565,23,0,0.0,1.0,0
23_580,23,1,1,1,0
23_667,23,1,1.0,1.0,0
23_68,23,1,0.0,1.0,0
24_11,24,0,0.0,1.0,0
24_172,24,0,0,1,0
24_307,24,0,1.0,0.0,1
24_355,24,0,0.0,0.0,0
24_387,24,0,0.0,1.0,0
24_399,24,1,1.0,1.0,0
24_424,24,0,1.0,1.0,0
24_47,24,1,0.0,1.0,0
25_13,25,0,0.0,1.0,0
25_259,25,1,0,1,0
25_310,25,0,0.0,0.0,1
25_356,25,1,0.0,1.0,0
25_372,25,0,0,1,0
25_390,25,1,0.0,1.0,0
25_402,25,1,1.0,1.0,0
25_428,25,0,0.0,1.0,0
25_49,25,0,0.0,1.0,1
26_134,26,0,0.0,1.0,0
26_146,26,0,0.0,1.0,1
26_196,26,0,0,0,1
26_222,26,1,0.0,1.0,0
26_276,26,0,0.0,0.0,1
26_304,26,0,0.0,0.0,0
26_32,26,1,0.0,1.0,0
26_365,26,1,1.0,1.0,0
26_382,26,0,0,1,0
27_0,27,0,0.0,0.0,1
27_114,27,0,0.0,0.0,1
27_144,27,0,0.0,1.0,0
27_46,27,0,1.0,1.0,0
27_54,27,1,0.0,1.0,0
27_79,27,0,1.0,1.0,0
27_81,27,0,1.0,1.0,0
28_106,28,1,0.0,1.0,0
28_156,28,0,0.0,0.0,0
28_214,28,1,1.0,1.0,0
28_229,28,0,0,1,0
28_261,28,1,0.0,0.0,0
28_27,28,1,0.0,0.0,0
28_291,28,0,0.0,0.0,1
28_41,28,0,0.0,0.0,0
29_111,29,1,0,0,0
29_132,29,1,0.0,1.0,0
29_134,29,1,1.0,1.0,0
29_138,29,1,0.0,1.0,0
29_183,29,0,0.0,0.0,1
29_215,29,0,0.0,0.0,0
29_24,29,1,0.0,1.0,0
29_51,29,0,0.0,0.0,1
30_123,30,0,0.0,0.0,1
30_173,30,0,0.0,1.0,1
30_268,30,0,0,1,0
30_318,30,0,0.0,1.0,0
30_351,30,0,0.0,1.0,0
30_403,30,1,0.0,0.0,0
30_417,30,1,0,0,0
30_60,30,1,0.0,1.0,0
30_78,30,0,0,0,1
30_92,30,0,0.0,1.0,1
31_0,31,0,1.0,0.0,1
31_151,31,1,0.0,1.0,0
31_153,31,0,0,0,1
31_20,31,1,0.0,1.0,0
31_24,31,1,0.0,1.0,0
31_59,31,0,0.0,1.0,0
31_65,31,0,0.0,0.0,1
31_67,31,1,0.0,1.0,0
32_125,32,0,0.0,1.0,1
32_133,32,1,0.0,1.0,0
32_153,32,1,1.0,1.0,0
32_165,32,1,1.0,1.0,0
32_20,32,1,1.0,1.0,0
32_60,32,1,1.0,1.0,0
32_8,32,1,0.0,1.0,0
33_0,33,0,1.0,0.0,1
33_20,33,1,0.0,1.0,0
33_37,33,1,0.0,0.0,0
33_46,33,0,0.0,0.0,0
33_58,33,0,0.0,1.0,0
33_62,33,1,0.0,1.0,0
33_64,33,1,0.0,0.0,0
34_0,34,0,0.0,0.0,1
34_135,34,1,0.0,1.0,0
34_153,34,0,0.0,0.0,1
34_20,34,1,0.0,0.0,0
34_24,34,1,1.0,1.0,0
34_44,34,1,0.0,1.0,0
34_52,34,1,0.0,1.0,0
35_12,35,1,1.0,1.0,0
35_172,35,0,0,0,1
35_229,35,1,0.0,1.0,0
35_237,35,1,0.0,0.0,1
35_240,35,0,0,0,1
35_319,35,0,0.0,0.0,1
35_331,35,0,0.0,0.0,1
35_333,35,0,0,0,1
35_364,35,0,0.0,0.0,1
35_402,35,0,0.0,0.0,1
36_154,36,0,0,1,0
36_158,36,0,0.0,0.0,1
36_225,36,1,1,1,0
36_233,36,0,0.0,1.0,0
36_263,36,1,1,1,0
36_281,36,0,0.0,1.0,1
36_294,36,0,0.0,1.0,0
36_32,36,1,1.0,1.0,0
36_363,36,1,1,1,0
36_365,36,0,0.0,1.0,0
36_42,36,0,0,1,0
36_6,36,0,0,1,0
36_94,36,0,0.0,1.0,0
38_13,38,1,1.0,1.0,0
38_177,38,0,0,1,0
38_315,38,1,0.0,1.0,0
38_361,38,0,0.0,1.0,0
38_442,38,0,0.0,0.0,0
38_476,38,0,0.0,1.0,1
38_489,38,0,0.0,0.0,1
38_49,38,1,0.0,1.0,0
39_154,39,0,0.0,0.0,0
39_228,39,0,1.0,1.0,0
39_275,39,1,1.0,1.0,0
39_289,39,1,0.0,1.0,0
39_30,39,1,0.0,1.0,0
39_357,39,0,0.0,1.0,0
39_90,39,1,1.0,1.0,0
40_125,40,0,0,1,0
40_19,40,1,0.0,1.0,0
40_243,40,0,1.0,1.0,0
40_299,40,0,0.0,1.0,0
40_368,40,0,0.0,0.0,1
40_372,40,1,0.0,0.0,0
40_417,40,1,0.0,1.0,0
40_431,40,0,0.0,1.0,0
41_111,41,1,0.0,1.0,0
41_137,41,0,0.0,1.0,0
41_193,41,1,1.0,1.0,0
41_278,41,0,0.0,1.0,0
41_307,41,0,0.0,1.0,0
41_311,41,1,0.0,1.0,0
41_33,41,1,0.0,1.0,0
42_137,42,1,0.0,1.0,0
42_152,42,0,0.0,0.0,1
42_164,42,0,0.0,1.0,1
42_191,42,1,1.0,1.0,0
42_195,42,1,0.0,1.0,0
42_233,42,1,0.0,1.0,0
42_56,42,1,0.0,0.0,0
44_130,44,0,0.0,0.0,0
44_138,44,0,0.0,1.0,0
44_52,44,0,1.0,1.0,0
44_8,44,0,0.0,1.0,1
44_80,44,0,0.0,1.0,1
44_84,44,0,0.0,0.0,0
44_94,44,0,0.0,1.0,0
47_172,47,0,0.0,1.0,0
47_200,47,0,0.0,1.0,1
47_229,47,1,0.0,0.0,0
47_317,47,0,0.0,0.0,1
47_326,47,0,0.0,0.0,1
47_343,47,1,0.0,1.0,0
47_58,47,1,0.0,1.0,0
48_153,48,1,0.0,1.0,0
48_235,48,0,0.0,0.0,1
48_240,48,0,0,1,0
48_289,48,0,0.0,0.0,1
48_30,48,0,1.0,1.0,0
48_305,48,0,0.0,0.0,1
48_322,48,0,0.0,0.0,1
48_91,48,1,0.0,1.0,0
49_0,49,0,0.0,1.0,1
49_106,49,1,0.0,0.0,0
49_136,49,1,1.0,1.0,0
49_26,49,0,0,0,0
49_46,49,1,0.0,1.0,0
49_54,49,0,0.0,1.0,0
49_77,49,0,0.0,1.0,0
49_79,49,0,0.0,1.0,0
50_106,50,1,1.0,1.0,0
50_155,50,0,0.0,1.0,0
50_183,50,0,0.0,0.0,1
50_221,50,0,0.0,1.0,0
50_23,50,1,0.0,1.0,0
50_249,50,0,1.0,1.0,0
50_37,50,1,0.0,1.0,0
51_122,51,0,0.0,1.0,1
51_176,51,1,0.0,1.0,0
51_209,51,0,0.0,1.0,1
51_249,51,1,0.0,1.0,1
51_280,51,0,0.0,1.0,1
51_30,51,1,1.0,1.0,1
51_44,51,1,0.0,1.0,0
53_13,53,1,0,0,0
53_210,53,1,0.0,0.0,0
53_311,53,0,0.0,0.0,1
53_32,53,0,0.0,0.0,0
53_328,53,0,0.0,1.0,0
53_41,53,0,0.0,0.0,1
53_55,53,0,0.0,0.0,1
53_96,53,0,0.0,0.0,0
54_132,54,0,0.0,1.0,0
54_198,54,1,0.0,0.0,0
54_353,54,0,0.0,1.0,0
54_393,54,0,0.0,1.0,1
54_453,54,0,0.0,0.0,0
54_64,54,1,0.0,0.0,1
54_95,54,0,0.0,1.0,0
56_119,56,0,0.0,0.0,1
56_174,56,0,0.0,1.0,1
56_37,56,0,0.0,1.0,0
56_8,56,0,0.0,1.0,0
56_81,56,0,0.0,0.0,0
56_91,56,1,0.0,1.0,0
56_95,56,1,0.0,1.0,0
57_126,57,0,0,1,0
57_130,57,0,0.0,1.0,0
57_138,57,1,0.0,1.0,0
57_158,57,0,0.0,1.0,1
57_170,57,1,0.0,1.0,0
57_20,57,0,0.0,1.0,0
57_61,57,1,1.0,1.0,0
57_8,57,1,0.0,1.0,0
58_171,58,0,0.0,0.0,1
58_19,58,0,0.0,0.0,0
58_229,58,0,0.0,1.0,0
58_23,58,0,0,1,0
58_344,58,0,0,1,0
58_401,58,1,0.0,0.0,0
58_53,58,1,0.0,1.0,0
58_574,58,1,1.0,1.0,0
58_624,58,1,0.0,1.0,0
58_84,58,1,1,0,0
59_158,59,1,1.0,0.0,1
59_19,59,0,0.0,1.0,1
59_237,59,0,0,0,0
59_326,59,0,0.0,1.0,1
59_433,59,0,0.0,1.0,1
59_481,59,1,0.0,1.0,0
59_523,59,1,0.0,1.0,0
59_543,59,0,0.0,0.0,1
60_137,60,1,0,1,0
60_163,60,1,1.0,0.0,0
60_270,60,0,0,0,0
60_296,60,0,0.0,1.0,0
60_31,60,1,0.0,1.0,0
60_313,60,0,0.0,1.0,0
60_326,60,1,1,1,0
60_39,60,1,0.0,0.0,0
60_51,60,1,1.0,0.0,0
60_88,60,1,0.0,1.0,0
63_112,63,0,0.0,0.0,0
63_194,63,0,0.0,0.0,0
63_236,63,0,0.0,0.0,1
63_270,63,0,0.0,0.0,1
63_280,63,0,0.0,0.0,0
63_326,63,0,1.0,1.0,1
63_60,63,1,0.0,1.0,0
64_152,64,0,0.0,1.0,0
64_22,64,1,0.0,0.0,0
64_229,64,0,0.0,1.0,0
64_248,64,1,0.0,1.0,0
64_34,64,0,0.0,1.0,1
64_382,64,1,1.0,1.0,0
64_391,64,0,0.0,1.0,1
65_111,65,0,0.0,1.0,0
65_113,65,0,0.0,1.0,0
65_157,65,0,0.0,0.0,1
65_171,65,0,0.0,1.0,1
65_239,65,0,0.0,1.0,0
65_38,65,0,1.0,1.0,0
65_63,65,0,0.0,1.0,0
66_104,66,1,0,1,0
66_140,66,1,0.0,1.0,0
66_169,66,0,0.0,1.0,1
66_195,66,1,1.0,0.0,1
66_272,66,1,0.0,0.0,0
66_280,66,0,0.0,1.0,0
66_295,66,1,0.0,0.0,1
66_53,66,1,0.0,1.0,0
67_102,67,1,0.0,1.0,0
67_152,67,0,0.0,1.0,0
67_208,67,1,0.0,1.0,0
67_24,67,1,0.0,1.0,0
67_251,67,1,0.0,1.0,0
67_279,67,0,0.0,1.0,0
67_38,67,1,0.0,0.0,0
68_0,68,0,0.0,1.0,0
68_126,68,0,0.0,0.0,1
68_39,68,0,0.0,1.0,0
68_45,68,0,0.0,0.0,1
68_67,68,1,0.0,1.0,0
68_69,68,1,0.0,1.0,0
68_97,68,0,0.0,1.0,1
69_123,69,0,0.0,0.0,1
69_137,69,1,0.0,1.0,0
69_154,69,0,1.0,1.0,1
69_18,69,1,0.0,1.0,0
69_297,69,0,0.0,1.0,0
69_30,69,0,0.0,0.0,1
69_311,69,1,1.0,1.0,0
70_128,70,1,0.0,1.0,0
70_135,70,0,0.0,0.0,1
70_159,70,0,1.0,1.0,0
70_179,70,0,0.0,1.0,0
70_198,70,0,0,1,0
70_20,70,1,0.0,1.0,0
70_58,70,0,0.0,0.0,1
70_63,70,1,1,1,0
70_8,70,1,0.0,1.0,1
72_124,72,0,1.0,1.0,0
72_128,72,0,0.0,1.0,0
72_170,72,0,0.0,0.0,1
72_194,72,0,0.0,1.0,0
72_198,72,0,0.0,0.0,1
72_36,72,1,1.0,1.0,0
72_80,72,1,0.0,1.0,0
73_107,73,0,0,1,0
73_126,73,0,0.0,1.0,1
73_162,73,0,0.0,1.0,1
73_25,73,0,0.0,0.0,1
73_281,73,0,0.0,0.0,1
73_318,73,0,0.0,0.0,1
73_69,73,0,0.0,1.0,1
73_96,73,0,0.0,0.0,1
74_185,74,0,0.0,1.0,0
74_232,74,1,0.0,1.0,0
74_35,74,0,1.0,1.0,0
74_51,74,0,0.0,1.0,0
74_54,74,0,0.0,1.0,1
74_79,74,0,0.0,0.0,1
74_84,74,1,1,1,0
74_87,74,0,0.0,1.0,0
75_134,75,1,0.0,1.0,0
75_143,75,1,1.0,1.0,0
75_155,75,0,0.0,0.0,1
75_20,75,1,0.0,1.0,0
75_202,75,0,0.0,1.0,0
75_60,75,1,1.0,1.0,0
75_8,75,1,0.0,1.0,0
75_84,75,1,1,1,0
76_200,76,0,0.0,0.0,1
76_259,76,1,0.0,1.0,0
76_291,76,0,0.0,1.0,0
76_454,76,0,0.0,1.0,1
76_486,76,1,0.0,0.0,0
76_527,76,1,0.0,0.0,0
76_62,76,1,0.0,0.0,0
76_76,76,0,0,0,0
77_136,77,0,0,1,0
77_142,77,0,0.0,1.0,0
77_238,77,0,0.0,1.0,0
77_257,77,1,0.0,1.0,0
77_288,77,0,0.0,1.0,1
77_38,77,1,0.0,1.0,0
77_54,77,0,0.0,1.0,0
77_56,77,0,0,1,0
77_86,77,1,0.0,1.0,0
78_136,78,1,0.0,0.0,0
78_160,78,1,0.0,1.0,0
78_18,78,1,0.0,0.0,0
78_237,78,0,0.0,1.0,0
78_24,78,1,0,1,0
78_295,78,1,0.0,1.0,0
78_32,78,1,1.0,1.0,0
78_323,78,1,1,0,0
78_379,78,0,0,1,0
78_93,78,0,0.0,1.0,1
79_10,79,0,0,0,0
79_14,79,1,0.0,1.0,0
79_353,79,0,0.0,1.0,1
79_400,79,1,1,1,0
79_404,79,0,0.0,0.0,1
79_427,79,0,0.0,1.0,0
79_456,79,0,0.0,1.0,1
79_486,79,0,0.0,0.0,0
79_52,79,0,0.0,0.0,1
80_124,80,0,1.0,1.0,1
80_136,80,1,0.0,0.0,0
80_213,80,1,1.0,1.0,0
80_24,80,1,0.0,0.0,0
80_265,80,0,0.0,1.0,1
80_38,80,0,0.0,1.0,0
80_87,80,0,0.0,1.0,0
81_134,81,1,1.0,1.0,0
81_18,81,0,0.0,1.0,0
81_249,81,0,0,1,0
81_30,81,0,0.0,0.0,1
81_403,81,1,1.0,1.0,0
81_409,81,1,0.0,1.0,0
81_439,81,1,1.0,1.0,0
81_50,81,0,0.0,1.0,0
82_120,82,1,1.0,1.0,0
82_151,82,0,0.0,0.0,1
82_212,82,0,0,0,1
82_229,82,1,0,1,0
82_290,82,0,0.0,0.0,1
82_359,82,1,0.0,0.0,0
82_425,82,0,0,1,0
82_435,82,1,1.0,0.0,0
82_58,82,0,0.0,0.0,1
82_88,82,1,0.0,0.0,0
83_142,83,0,0.0,1.0,0
83_152,83,0,0,1,0
83_18,83,0,0.0,0.0,1
83_226,83,1,0.0,0.0,0
83_262,83,1,0.0,1.0,0
83_373,83,0,0.0,1.0,0
83_392,83,1,0.0,1.0,0
83_470,83,0,0.0,0.0,0
84_131,84,1,0.0,1.0,0
84_135,84,1,0.0,0.0,0
84_169,84,1,0.0,1.0,0
84_173,84,1,1.0,1.0,0
84_193,84,0,0.0,0.0,1
84_36,84,0,0.0,1.0,0
84_87,84,1,0.0,1.0,0
87_142,87,0,0,1,0
87_158,87,0,0.0,1.0,0
87_171,87,0,1.0,1.0,0
87_175,87,1,0.0,1.0,0
87_197,87,1,0.0,1.0,0
87_231,87,0,0.0,0.0,0
87_233,87,1,0.0,1.0,0
87_58,87,0,0.0,1.0,0
88_137,88,0,0.0,0.0,1
88_23,88,1,1,0,0
88_234,88,1,0.0,1.0,0
88_259,88,1,0.0,1.0,0
88_287,88,1,1.0,1.0,0
88_289,88,1,1.0,1.0,0
88_319,88,1,0.0,1.0,0
88_35,88,0,0.0,0.0,1
88_55,88,1,1,1,0
89_108,89,1,0.0,1.0,0
89_130,89,1,1.0,1.0,0
89_132,89,1,1.0,1.0,0
89_191,89,1,0.0,1.0,0
89_211,89,0,0.0,0.0,1
89_61,89,0,0.0,1.0,0
89_92,89,1,0.0,1.0,0
90_1002,90,0,0,0,0
90_1036,90,1,0,0,0
90_1054,90,0,0.0,1.0,1
90_152,90,0,0.0,0.0,0
90_21,90,1,0.0,1.0,0
90_220,90,0,0.0,1.0,0
90_367,90,0,0.0,0.0,1
90_533,90,0,0,0,1
90_572,90,0,0.0,1.0,0
90_744,90,0,0,1,0
90_802,90,0,0.0,1.0,0
90_897,90,0,0,1,0
97_106,97,1,0,1,0
97_136,97,0,0.0,0.0,0
97_194,97,1,0.0,1.0,0
97_216,97,0,0.0,0.0,1
97_225,97,0,0.0,0.0,1
97_32,97,1,0.0,0.0,0
97_326,97,1,1.0,0.0,0
97_38,97,0,0.0,0.0,0
97_74,97,1,1,1,0
98_134,98,0,0.0,0.0,0
98_18,98,0,0.0,1.0,1
98_241,98,0,0,0,1
98_30,98,0,0.0,0.0,1
98_343,98,0,0,1,0
98_353,98,0,0.0,0.0,1
98_413,98,0,0.0,1.0,0
98_449,98,0,0.0,0.0,1
98_50,98,0,0.0,1.0,1
99_113,99,1,0.0,1.0,0
99_192,99,0,0.0,1.0,1
99_232,99,0,0.0,1.0,1
99_265,99,0,0.0,1.0,0
99_272,99,0,0.0,1.0,0
99_316,99,1,0.0,1.0,0
99_61,99,0,0.0,0.0,1
100_161,100,0,0,1,0
100_175,100,1,0.0,1.0,0
100_260,100,0,0.0,1.0,0
100_300,100,1,0.0,1.0,0
100_379,100,0,1.0,1.0,1
100_504,100,0,0.0,0.0,1
100_574,100,0,0.0,1.0,0
100_63,100,1,0,1,0
100_93,100,0,0.0,0.0,1
101_116,101,1,1.0,0.0,0
101_200,101,1,1.0,1.0,0
101_239,101,0,0.0,0.0,1
101_245,101,0,0,1,0
101_274,101,0,0.0,1.0,0
101_284,101,0,0.0,0.0,0
101_302,101,0,0,1,0
101_338,101,0,0.0,1.0,0
101_61,101,1,0.0,0.0,0
109_114,109,0,0.0,1.0,0
109_116,109,1,0.0,1.0,0
109_142,109,0,0.0,0.0,0
109_202,109,0,0.0,1.0,0
109_216,109,0,0,0,0
109_41,109,1,1.0,1.0,0
109_65,109,1,0.0,1.0,0
109_83,109,1,0.0,1.0,0
110_12,110,1,0,1,0
110_244,110,0,0,1,0
110_256,110,1,1.0,0.0,0
110_336,110,0,0.0,0.0,1
110_396,110,1,0.0,0.0,0
110_472,110,1,0.0,0.0,0
110_526,110,0,1.0,1.0,0
110_538,110,0,1.0,1.0,0
110_63,110,1,1.0,1.0,0
111_119,111,0,0.0,1.0,0
111_161,111,1,0.0,1.0,0
111_185,111,0,0.0,0.0,1
111_235,111,0,0.0,0.0,1
111_283,111,0,0.0,1.0,0
111_60,111,1,0.0,1.0,0
111_64,111,0,0.0,1.0,0
112_113,112,0,0.0,1.0,0
112_131,112,0,0,1,0
112_167,112,0,0.0,0.0,0
112_197,112,1,0.0,0.0,0
112_237,112,0,0.0,1.0,0
112_25,112,1,0.0,1.0,0
112_265,112,1,0.0,1.0,0
112_39,112,0,0.0,1.0,0
113_13,113,0,0.0,0.0,1
113_274,113,0,0,0,1
113_332,113,0,0.0,1.0,0
113_387,113,0,0.0,0.0,1
113_410,113,0,0,0,0
113_421,113,0,0,0,1
113_429,113,0,0.0,1.0,1
113_440,113,1,0.0,1.0,0
113_462,113,0,0.0,1.0,0
113_57,113,0,0.0,0.0,1
117_112,117,1,0.0,0.0,0
117_114,117,0,0.0,0.0,1
117_140,117,0,0.0,1.0,1
117_180,117,1,1,1,0
117_232,117,0,0.0,1.0,1
117_40,117,1,0.0,1.0,0
117_64,117,1,0.0,1.0,0
117_82,117,1,0.0,1.0,0
118_0,118,0,0.0,0.0,1
118_138,118,0,0.0,1.0,0
118_156,118,0,0.0,0.0,0
118_23,118,0,0.0,0.0,1
118_27,118,0,0.0,0.0,0
118_48,118,0,0.0,1.0,0
118_56,118,1,0.0,0.0,0
119_133,119,1,0.0,0.0,0
119_166,119,0,0.0,1.0,0
119_199,119,1,0.0,1.0,0
119_20,119,1,0.0,1.0,0
119_205,119,0,0.0,1.0,0
119_60,119,1,0.0,1.0,0
119_8,119,0,0.0,0.0,1
120_138,120,1,1.0,1.0,0
120_16,120,0,0.0,0.0,1
120_192,120,0,0.0,0.0,1
120_202,120,0,0.0,0.0,1
120_267,120,0,0.0,1.0,1
120_28,120,0,1.0,1.0,0
120_321,120,0,0.0,0.0,1
120_52,120,1,1,1,0
124_0,124,0,0.0,0.0,1
124_106,124,0,0.0,1.0,0
124_123,124,0,0,1,0
124_20,124,1,0.0,1.0,0
124_36,124,0,1.0,1.0,0
124_44,124,1,1.0,1.0,0
124_8,124,0,0.0,0.0,1
124_94,124,0,0.0,1.0,1
127_0,127,0,0,1,0
127_225,127,0,0.0,0.0,0
127_301,127,1,0.0,1.0,0
127_31,127,0,0.0,1.0,0
127_317,127,0,0.0,0.0,0
127_39,127,0,0.0,1.0,0
127_49,127,0,0.0,0.0,1
127_86,127,0,0.0,1.0,0
128_118,128,0,0,1,0
128_199,128,1,0.0,1.0,0
128_245,128,0,0.0,1.0,0
128_271,128,0,0,0,0
128_38,128,0,1.0,1.0,0
128_55,128,0,0.0,1.0,1
128_59,128,1,0.0,1.0,0
128_86,128,0,0.0,1.0,1
128_92,128,0,0.0,1.0,0
129_0,129,0,0.0,1.0,0
129_113,129,1,1.0,1.0,1
129_140,129,1,1.0,1.0,0
129_150,129,1,0.0,1.0,0
129_20,129,1,1.0,1.0,0
129_24,129,1,0.0,1.0,0
129_44,129,1,0.0,1.0,0
130_0,130,0,0.0,1.0,1
130_18,130,1,0.0,1.0,0
130_20,130,1,0.0,0.0,1
130_24,130,1,0.0,0.0,0
130_28,130,1,0.0,1.0,0
130_34,130,0,0,1,0
130_36,130,1,0.0,1.0,0
130_46,130,1,1.0,0.0,1
131_130,131,1,1.0,1.0,0
131_134,131,1,1.0,1.0,0
131_176,131,0,0.0,1.0,0
131_200,131,1,1.0,1.0,0
131_204,131,1,0.0,0.0,0
131_36,131,1,0,1,0
131_40,131,1,0.0,1.0,0
131_85,131,1,0.0,0.0,0
132_209,132,0,0,1,0
132_218,132,0,1.0,1.0,0
132_260,132,1,0,0,0
132_266,132,0,0.0,0.0,1
132_39,132,0,0.0,0.0,1
132_55,132,0,0.0,0.0,1
132_59,132,0,0.0,0.0,0
132_93,132,1,0.0,1.0,1
132_99,132,0,0.0,1.0,0
133_152,133,0,0,1,0
133_162,133,1,0.0,1.0,0
133_166,133,0,0,0,0
133_176,133,0,0.0,0.0,1
133_180,133,0,0.0,0.0,0
133_202,133,0,0.0,0.0,1
133_235,133,1,1.0,1.0,1
133_237,133,1,0.0,1.0,0
133_58,133,0,0.0,1.0,1
134_134,134,0,0.0,0.0,1
134_18,134,1,0.0,0.0,0
134_30,134,0,0.0,0.0,0
134_351,134,1,0.0,1.0,0
